Date,Open,High,Low,Close
21/04/2014,6625.25,6627.25,6559.35,6625.25
22/04/2014,6625.25,6706.19,6625.25,6681.76
23/04/2014,6681.76,6694.82,6661.42,6674.74
24/04/2014,6674.74,6724.58,6667.65,6703
25/04/2014,6703,6704.37,6657.3,6685.69
28/04/2014,6685.69,6720.33,6682.9,6700.16
29/04/2014,6700.16,6769.91,6700.1,6769.91
30/04/2014,6769.91,6794.88,6748.76,6780.03
01/05/2014,6780.03,6811.64,6773.69,6808.87
02/05/2014,6808.87,6838.17,6798.61,6822.42
05/05/2014,6822.42,6838.17,6798.61,6822.42
06/05/2014,6822.42,6828.62,6785.32,6798.56
07/05/2014,6798.56,6799.34,6766.84,6796.44
08/05/2014,6796.44,6840.37,6796.44,6839.25
09/05/2014,6839.25,6839.42,6805.39,6814.57
12/05/2014,6814.57,6851.75,6814.57,6851.75
13/05/2014,6851.75,6877.39,6845.95,6873.08
14/05/2014,6873.08,6880.07,6854.02,6878.49
15/05/2014,6878.49,6894.88,6821.66,6840.89
16/05/2014,6840.89,6855.94,6813.5,6855.81
19/05/2014,6855.81,6862.2,6804.31,6844.55
20/05/2014,6844.55,6848.36,6792.51,6802
21/05/2014,6802,6821.04,6782.8,6821.04
22/05/2014,6821.04,6846.57,6810.19,6820.56
23/05/2014,6820.56,6825.53,6793.47,6815.75
26/05/2014,6815.75,6825.53,6793.47,6815.75
27/05/2014,6815.75,6857.1,6815.37,6844.94
28/05/2014,6844.94,6855.83,6833.61,6851.22
29/05/2014,6851.22,6882.14,6848.06,6871.29
30/05/2014,6871.29,6874.33,6831.99,6844.51
02/06/2014,6844.51,6874.38,6844.51,6864.1
03/06/2014,6864.1,6865.38,6817.96,6836.3
04/06/2014,6836.3,6840.6,6800.1,6818.63
05/06/2014,6818.63,6847,6795.27,6813.49
06/06/2014,6813.49,6862.91,6813.49,6858.21
09/06/2014,6858.21,6878.96,6857.7,6875
10/06/2014,6875,6875.24,6835.8,6873.55
11/06/2014,6873.55,6873.55,6825.24,6838.87
12/06/2014,6838.87,6853.18,6827.03,6843.11
13/06/2014,6843.11,6843.11,6758.15,6777.85
16/06/2014,6777.85,6779.4,6748.04,6754.64
17/06/2014,6754.64,6774.87,6736.11,6766.77
18/06/2014,6766.77,6799.59,6766.77,6778.56
19/06/2014,6778.56,6837.57,6778.56,6808.11
20/06/2014,6808.11,6840.62,6791.2,6825.2
23/06/2014,6825.2,6829.76,6785.83,6800.56
24/06/2014,6800.56,6824.45,6776.8,6787.07
25/06/2014,6787.07,6787.07,6716.35,6733.62
26/06/2014,6733.62,6753.25,6701.59,6735.12
27/06/2014,6735.12,6767.63,6735.12,6757.77
30/06/2014,6757.77,6777.11,6730.45,6743.94
01/07/2014,6743.94,6805.9,6743.94,6802.92
02/07/2014,6802.92,6829.49,6796.61,6816.37
03/07/2014,6816.37,6866.56,6815.45,6865.21
04/07/2014,6865.21,6875.31,6856.35,6866.05
07/07/2014,6866.05,6866.37,6817.6,6823.51
08/07/2014,6823.51,6831.02,6738.45,6738.45
09/07/2014,6738.45,6740.82,6692.77,6718.04
10/07/2014,6718.04,6724.8,6643.62,6672.37
11/07/2014,6672.37,6696.1,6663.67,6690.17
14/07/2014,6690.17,6760.73,6690.17,6746.14
15/07/2014,6746.14,6764,6709.15,6710.45
16/07/2014,6710.45,6792.55,6710.45,6784.67
17/07/2014,6784.67,6784.67,6727.71,6738.32
18/07/2014,6738.32,6749.89,6690.9,6749.45
21/07/2014,6749.45,6753.42,6715.78,6728.44
22/07/2014,6728.44,6801.84,6728.44,6795.34
23/07/2014,6795.34,6822.65,6773.11,6798.15
24/07/2014,6798.15,6821.46,6767.33,6821.46
25/07/2014,6821.46,6830.77,6780.65,6791.55
28/07/2014,6791.55,6809.61,6761.77,6788.07
29/07/2014,6788.07,6833.67,6784.04,6807.75
30/07/2014,6807.75,6815.29,6758.24,6773.44
31/07/2014,6773.44,6797.09,6716.29,6730.11
01/08/2014,6730.11,6730.11,6624.72,6679.18
04/08/2014,6679.18,6715.56,6669.93,6677.52
05/08/2014,6677.52,6713.52,6671.46,6682.48
06/08/2014,6682.48,6682.48,6588.43,6636.16
07/08/2014,6636.16,6649.05,6589.78,6597.37
08/08/2014,6597.37,6597.37,6528.73,6567.36
11/08/2014,6567.36,6645.83,6567.36,6632.82
12/08/2014,6632.82,6643.7,6612.52,6632.42
13/08/2014,6632.42,6664.34,6625.98,6656.68
14/08/2014,6656.68,6694.64,6641.81,6685.26
15/08/2014,6685.26,6742.82,6685.25,6689.08
18/08/2014,6689.08,6745.72,6689.08,6741.25
19/08/2014,6741.25,6782.9,6740.65,6779.31
20/08/2014,6779.31,6781.23,6739.76,6755.48
21/08/2014,6755.48,6780.73,6752.7,6777.66
22/08/2014,6777.66,6784.63,6746.37,6775.25
25/08/2014,6775.25,6784.63,6746.37,6775.25
26/08/2014,6775.25,6827.32,6775.25,6822.76
27/08/2014,6822.76,6830.66,6813.24,6830.66
28/08/2014,6830.66,6831.19,6796.86,6805.8
29/08/2014,6805.8,6828.92,6782.63,6819.75
01/09/2014,6819.75,6825.31,6798.33,6825.31
02/09/2014,6825.31,6849.28,6812.31,6829.17
03/09/2014,6829.17,6898.62,6826.73,6873.58
04/09/2014,6873.58,6904.86,6866.25,6877.97
05/09/2014,6877.97,6884.96,6829.1,6855.1
08/09/2014,6855.1,6855.1,6773.78,6834.77
09/09/2014,6834.77,6846.18,6812.5,6829
10/09/2014,6829,6847.79,6800.04,6830.11
11/09/2014,6830.11,6857.54,6764.86,6799.62
12/09/2014,6799.62,6832.16,6799.39,6806.96
15/09/2014,6806.96,6813.87,6771.69,6804.21
16/09/2014,6804.21,6804.34,6748.09,6792.24
17/09/2014,6792.24,6816.89,6780.9,6780.9
18/09/2014,6780.9,6822.6,6769.58,6819.29
19/09/2014,6819.29,6876,6819.29,6837.92
22/09/2014,6837.92,6838.35,6766.89,6773.63
23/09/2014,6773.63,6777.27,6647.21,6676.08
24/09/2014,6676.08,6707.26,6651.98,6706.27
