Date, Open, High, Low, Close, Volume
08/02/18, 65.688, 69.998, 64.632, 69.908, 116074803.258878
08/01/18, 59.598, 60.60, 58.60, 60.168, 50647149.2402928
07/31/18, 58.45, 59.664, 57.814, 59.628, 25384579.6192313
07/30/18, 59.18, 59.22, 57.226, 58.034, 34070359.4889446
07/27/18, 61.45, 61.5387, 59.0681, 59.436, 28516629.5722506
07/26/18, 60.97, 62.14, 60.7282, 61.33, 23152609.6527109
07/25/18, 59.348, 61.924, 58.9005, 61.748, 35470899.4679365
07/24/18, 60.8842, 61.5434, 58.509, 59.486, 47953919.2806912
07/23/18, 60.368, 61.10, 58.572, 60.64, 54964749.1755288
07/20/18, 64.246, 64.648, 62.3419, 62.716, 25832734.612509
07/19/18, 63.266, 64.708, 62.802, 64.046, 29576724.5563491
07/18/18, 65.00, 65.10, 63.25, 64.77, 28121054.5781842
07/17/18, 61.762, 64.948, 61.70, 64.538, 34981159.4752826
07/16/18, 62.342, 63.032, 61.25, 62.02, 39093274.4136009
07/13/18, 63.116, 63.917, 61.85, 63.774, 29378849.5593173
07/12/18, 64.286, 64.646, 62.554, 63.342, 28605829.5709126
07/11/18, 63.16, 64.388, 63.014, 63.792, 24420379.6336943
07/10/18, 64.912, 65.5354, 63.84, 64.494, 47357489.2896377
07/09/18, 62.398, 63.704, 61.60, 63.702, 37983764.4302435
07/06/18, 60.991, 62.414, 60.40, 61.78, 44327254.3350912
07/05/18, 62.752, 62.878, 59.244, 61.832, 87381843.6892724
07/03/18, 66.35, 66.498, 61.938, 62.172, 61413199.078802
07/02/18, 72.014, 72.956, 65.97, 67.014, 93798848.5930173
06/29/18, 70.666, 70.772, 68.482, 68.59, 32461979.5130703
06/28/18, 69.732, 71.404, 69.222, 69.986, 41990024.3701496
06/27/18, 69.00, 70.158, 67.90, 68.90, 41668639.3749704
06/26/18, 67.2108, 68.71, 65.1598, 68.40, 37262434.4410635
06/25/18, 66.024, 67.694, 65.50, 66.602, 34656519.4801522
06/22/18, 70.308, 70.45, 66.40, 66.726, 51330299.2300455
06/21/18, 72.40, 73.2428, 69.254, 69.502, 39835724.4024641
06/20/18, 71.608, 72.876, 70.40, 72.444, 41918279.3712258
